o,d,volume
地铁9号线杨高中路,地铁9号线世纪大道,7050.0
地铁9号线世纪大道,地铁9号线商城路,7175.0
地铁9号线商城路,地铁9号线小南门,11280.0
地铁9号线小南门,地铁9号线陆家浜路,13559.0
地铁9号线陆家浜路,地铁9号线马当路,13100.0
地铁9号线马当路,地铁9号线打浦桥,12636.0
地铁9号线打浦桥,地铁9号线嘉善路,15436.0
地铁9号线嘉善路,地铁9号线肇嘉浜路,16239.0
地铁9号线肇嘉浜路,地铁9号线徐家汇,17815.0
地铁9号线徐家汇,地铁9号线宜山路,20382.0
地铁9号线宜山路,地铁9号线桂林路,27704.0
地铁9号线桂林路,地铁9号线漕河泾开发区,29718.0
地铁9号线漕河泾开发区,地铁9号线合川路,38739.0
地铁9号线合川路,地铁9号线星中路,40760.0
地铁9号线星中路,地铁9号线七宝,40434.0
地铁9号线七宝,地铁9号线中春路,40139.0
地铁9号线中春路,地铁9号线九亭,40452.0
地铁9号线九亭,地铁9号线泗泾,32543.0
地铁9号线泗泾,地铁9号线佘山,20291.0
地铁9号线佘山,地铁9号线洞泾,11236.0
地铁9号线洞泾,地铁9号线松江大学城,9457.0
地铁9号线松江大学城,地铁9号线松江新城,5981.0
地铁9号线松江新城,地铁9号线松江体育中心,4265.0
地铁9号线松江体育中心,地铁9号线醉白池,1625.0
地铁9号线醉白池,地铁9号线松江南站,587.0
地铁9号线松江南站,地铁9号线醉白池,422.0
地铁9号线醉白池,地铁9号线松江体育中心,598.0
地铁9号线松江体育中心,地铁9号线松江新城,1084.0
地铁9号线松江新城,地铁9号线松江大学城,1319.0
地铁9号线松江大学城,地铁9号线洞泾,1866.0
地铁9号线洞泾,地铁9号线佘山,1817.0
地铁9号线佘山,地铁9号线泗泾,1624.0
地铁9号线泗泾,地铁9号线九亭,1579.0
地铁9号线九亭,地铁9号线中春路,1962.0
地铁9号线中春路,地铁9号线七宝,2159.0
地铁9号线七宝,地铁9号线星中路,2243.0
地铁9号线星中路,地铁9号线合川路,2100.0
地铁9号线合川路,地铁9号线漕河泾开发区,3857.0
地铁9号线漕河泾开发区,地铁9号线桂林路,11766.0
地铁9号线桂林路,地铁9号线宜山路,14000.0
地铁9号线宜山路,地铁9号线徐家汇,11409.0
地铁9号线徐家汇,地铁9号线肇嘉浜路,9000.0
地铁9号线肇嘉浜路,地铁9号线嘉善路,8215.0
地铁9号线嘉善路,地铁9号线打浦桥,7464.0
地铁9号线打浦桥,地铁9号线马当路,8939.0
地铁9号线马当路,地铁9号线陆家浜路,8310.0
地铁9号线陆家浜路,地铁9号线小南门,7152.0
地铁9号线小南门,地铁9号线商城路,8841.0
地铁9号线商城路,地铁9号线世纪大道,13498.0
地铁9号线世纪大道,地铁9号线杨高中路,15457.0
地铁9号线杨高中路,地铁9号线芳甸路,15265.0
地铁9号线芳甸路,地铁9号线蓝天路,14585.0
地铁9号线蓝天路,地铁9号线台儿庄路,13628.0
地铁9号线台儿庄路,地铁9号线金桥,11995.0
地铁9号线金桥,地铁9号线金吉路,11299.0
地铁9号线金吉路,地铁9号线金海路,14015.0
地铁9号线金海路,地铁9号线顾唐路,14279.0
地铁9号线顾唐路,地铁9号线民雷路,12839.0
地铁9号线民雷路,地铁9号线曹路,10032.0
地铁10号线虹桥火车站,地铁10号线虹桥2号航站楼,1583.0
地铁10号线虹桥2号航站楼,地铁10号线虹桥1号航站楼,2472.0
地铁10号线虹桥1号航站楼,地铁10号线上海动物园,2660.0
地铁10号线上海动物园,地铁10号线龙溪路,2565.0
地铁10号线龙溪路,地铁10号线水城路,3815.0
地铁10号线水城路,地铁10号线伊犁路,3736.0
地铁10号线伊犁路,地铁10号线宋园路,6260.0
地铁10号线宋园路,地铁10号线虹桥路,6863.0
地铁10号线虹桥路,地铁10号线交通大学,5749.0
地铁10号线交通大学,地铁10号线上海图书馆,5076.0
地铁10号线上海图书馆,地铁10号线陕西南路,5392.0
地铁10号线陕西南路,地铁10号线一大会址·新天地,5075.0
地铁10号线一大会址·新天地,地铁10号线老西门,5566.0
地铁10号线老西门,地铁10号线豫园,4319.0
地铁10号线豫园,地铁10号线南京东路,6447.0
地铁10号线南京东路,地铁10号线天潼路,9911.0
地铁10号线天潼路,地铁10号线四川北路,10247.0
地铁10号线四川北路,地铁10号线海伦路,11579.0
地铁10号线海伦路,地铁10号线邮电新村,11394.0
地铁10号线邮电新村,地铁10号线四平路,10302.0
地铁10号线四平路,地铁10号线同济大学,8057.0
地铁10号线同济大学,地铁10号线国权路,7540.0
地铁10号线国权路,地铁10号线五角场,5709.0
地铁10号线五角场,地铁10号线江湾体育场,5335.0
地铁10号线江湾体育场,地铁10号线三门路,4041.0
地铁10号线三门路,地铁10号线殷高东路,3757.0
地铁10号线殷高东路,地铁10号线新江湾城,3212.0
地铁10号线新江湾城,地铁10号线国帆路,1693.0
地铁10号线国帆路,地铁10号线双江路,1443.0
地铁10号线双江路,地铁10号线高桥西,723.0
地铁10号线高桥西,地铁10号线高桥,720.0
地铁10号线高桥,地铁10号线港城路,500.0
地铁10号线港城路,地铁10号线基隆路,72.0
地铁10号线基隆路,地铁10号线港城路,223.0
地铁10号线港城路,地铁10号线高桥,345.0
地铁10号线高桥,地铁10号线高桥西,304.0
地铁10号线高桥西,地铁10号线双江路,307.0
地铁10号线双江路,地铁10号线国帆路,281.0
地铁10号线国帆路,地铁10号线新江湾城,423.0
地铁10号线新江湾城,地铁10号线殷高东路,625.0
地铁10号线殷高东路,地铁10号线三门路,667.0
地铁10号线三门路,地铁10号线江湾体育场,1303.0
地铁10号线江湾体育场,地铁10号线五角场,2429.0
地铁10号线五角场,地铁10号线国权路,3068.0
地铁10号线国权路,地铁10号线同济大学,2798.0
地铁10号线同济大学,地铁10号线四平路,3186.0
地铁10号线四平路,地铁10号线邮电新村,2756.0
地铁10号线邮电新村,地铁10号线海伦路,2642.0
地铁10号线海伦路,地铁10号线四川北路,2490.0
地铁10号线四川北路,地铁10号线天潼路,5060.0
地铁10号线天潼路,地铁10号线南京东路,6512.0
地铁10号线南京东路,地铁10号线豫园,7395.0
地铁10号线豫园,地铁10号线老西门,8523.0
地铁10号线老西门,地铁10号线一大会址·新天地,7447.0
地铁10号线一大会址·新天地,地铁10号线陕西南路,7376.0
地铁10号线陕西南路,地铁10号线上海图书馆,8017.0
地铁10号线上海图书馆,地铁10号线交通大学,8469.0
地铁10号线交通大学,地铁10号线虹桥路,8406.0
地铁10号线虹桥路,地铁10号线宋园路,8423.0
地铁10号线宋园路,地铁10号线伊犁路,8409.0
地铁10号线伊犁路,地铁10号线水城路,9462.0
地铁10号线水城路,地铁10号线龙溪路,9014.0
地铁10号线龙溪路,地铁10号线上海动物园,6184.0
地铁10号线上海动物园,地铁10号线虹桥1号航站楼,5846.0
地铁10号线虹桥1号航站楼,地铁10号线虹桥2号航站楼,6208.0
地铁10号线虹桥2号航站楼,地铁10号线虹桥火车站,7710.0
地铁10号线龙溪路,地铁10号线龙柏新村,3372.0
地铁10号线龙柏新村,地铁10号线紫藤路,2028.0
地铁10号线紫藤路,地铁10号线航中路,1872.0
地铁10号线航中路,地铁10号线紫藤路,426.0
地铁10号线紫藤路,地铁10号线龙柏新村,811.0
地铁10号线龙柏新村,地铁10号线龙溪路,1936.0
地铁11号线嘉定北,地铁11号线嘉定西,1370.0
地铁11号线嘉定西,地铁11号线白银路,1714.0
地铁11号线白银路,地铁11号线嘉定新城,1811.0
地铁11号线嘉定新城,地铁11号线马陆,2647.0
地铁11号线马陆,地铁11号线陈翔公路,2477.0
地铁11号线陈翔公路,地铁11号线南翔,2230.0
地铁11号线南翔,地铁11号线桃浦新村,2046.0
地铁11号线桃浦新村,地铁11号线武威路,1806.0
地铁11号线武威路,地铁11号线祁连山路,1829.0
地铁11号线祁连山路,地铁11号线李子园,1878.0
地铁11号线李子园,地铁11号线上海西站,1741.0
地铁11号线上海西站,地铁11号线真如,1523.0
地铁11号线真如,地铁11号线枫桥路,1425.0
地铁11号线枫桥路,地铁11号线曹杨路,1479.0
地铁11号线曹杨路,地铁11号线隆德路,2039.0
地铁11号线隆德路,地铁11号线江苏路,2184.0
地铁11号线江苏路,地铁11号线交通大学,4441.0
地铁11号线交通大学,地铁11号线徐家汇,5842.0
地铁11号线徐家汇,地铁11号线上海游泳馆,7762.0
地铁11号线上海游泳馆,地铁11号线龙华,7967.0
地铁11号线龙华,地铁11号线云锦路,10913.0
地铁11号线云锦路,地铁11号线龙耀路,11338.0
地铁11号线龙耀路,地铁11号线东方体育中心,11365.0
地铁11号线东方体育中心,地铁11号线三林,9140.0
地铁11号线三林,地铁11号线三林东,6633.0
地铁11号线三林东,地铁11号线浦三路,4705.0
地铁11号线浦三路,地铁11号线御桥,3540.0
地铁11号线御桥,地铁11号线罗山路,3350.0
地铁11号线罗山路,地铁11号线秀沿路,2916.0
地铁11号线秀沿路,地铁11号线康新公路,248.0
地铁11号线康新公路,地铁11号线迪士尼,27.0
地铁11号线迪士尼,地铁11号线康新公路,38.0
地铁11号线康新公路,地铁11号线秀沿路,785.0
地铁11号线秀沿路,地铁11号线罗山路,948.0
地铁11号线罗山路,地铁11号线御桥,1462.0
地铁11号线御桥,地铁11号线浦三路,1816.0
地铁11号线浦三路,地铁11号线三林东,1612.0
地铁11号线三林东,地铁11号线三林,1412.0
地铁11号线三林,地铁11号线东方体育中心,1132.0
地铁11号线东方体育中心,地铁11号线龙耀路,4004.0
地铁11号线龙耀路,地铁11号线云锦路,3916.0
地铁11号线云锦路,地铁11号线龙华,4695.0
地铁11号线龙华,地铁11号线上海游泳馆,3873.0
地铁11号线上海游泳馆,地铁11号线徐家汇,4114.0
地铁11号线徐家汇,地铁11号线交通大学,7045.0
地铁11号线交通大学,地铁11号线江苏路,8036.0
地铁11号线江苏路,地铁11号线隆德路,12641.0
地铁11号线隆德路,地铁11号线曹杨路,13487.0
地铁11号线曹杨路,地铁11号线枫桥路,25372.0
地铁11号线枫桥路,地铁11号线真如,25469.0
地铁11号线真如,地铁11号线上海西站,27965.0
地铁11号线上海西站,地铁11号线李子园,24932.0
地铁11号线李子园,地铁11号线祁连山路,25210.0
地铁11号线祁连山路,地铁11号线武威路,25883.0
地铁11号线武威路,地铁11号线桃浦新村,25904.0
地铁11号线桃浦新村,地铁11号线南翔,21991.0
地铁11号线南翔,地铁11号线陈翔公路,18776.0
地铁11号线陈翔公路,地铁11号线马陆,17277.0
地铁11号线马陆,地铁11号线嘉定新城,14284.0
地铁11号线嘉定新城,地铁11号线白银路,7191.0
地铁11号线白银路,地铁11号线嘉定西,5827.0
地铁11号线嘉定西,地铁11号线嘉定北,3263.0
地铁11号线嘉定新城,地铁11号线上海赛车场,6246.0
地铁11号线上海赛车场,地铁11号线昌吉东路,6235.0
地铁11号线昌吉东路,地铁11号线上海汽车城,5525.0
地铁11号线上海汽车城,地铁11号线安亭,5549.0
地铁11号线安亭,地铁11号线兆丰路,4947.0
地铁11号线兆丰路,地铁11号线光明路,3308.0
地铁11号线光明路,地铁11号线花桥,2633.0
地铁11号线花桥,地铁11号线光明路,186.0
地铁11号线光明路,地铁11号线兆丰路,512.0
地铁11号线兆丰路,地铁11号线安亭,562.0
地铁11号线安亭,地铁11号线上海汽车城,968.0
地铁11号线上海汽车城,地铁11号线昌吉东路,1735.0
地铁11号线昌吉东路,地铁11号线上海赛车场,1850.0
地铁11号线上海赛车场,地铁11号线嘉定新城,1922.0
地铁12号线七莘路,地铁12号线虹莘路,1507.0
地铁12号线虹莘路,地铁12号线顾戴路,1460.0
地铁12号线顾戴路,地铁12号线东兰路,1414.0
地铁12号线东兰路,地铁12号线虹梅路,1342.0
地铁12号线虹梅路,地铁12号线虹漕路,4298.0
地铁12号线虹漕路,地铁12号线桂林公园,6965.0
地铁12号线桂林公园,地铁12号线漕宝路,6825.0
地铁12号线漕宝路,地铁12号线龙漕路,5625.0
地铁12号线龙漕路,地铁12号线龙华,4787.0
地铁12号线龙华,地铁12号线龙华中路,3393.0
地铁12号线龙华中路,地铁12号线大木桥路,3382.0
地铁12号线大木桥路,地铁12号线嘉善路,3485.0
地铁12号线嘉善路,地铁12号线陕西南路,4332.0
地铁12号线陕西南路,地铁12号线南京西路,5234.0
地铁12号线南京西路,地铁12号线汉中路,9252.0
地铁12号线汉中路,地铁12号线曲阜路,7131.0
地铁12号线曲阜路,地铁12号线天潼路,5611.0
地铁12号线天潼路,地铁12号线国际客运中心,6370.0
地铁12号线国际客运中心,地铁12号线提篮桥,7779.0
地铁12号线提篮桥,地铁12号线大连路,9235.0
地铁12号线大连路,地铁12号线江浦公园,11548.0
地铁12号线江浦公园,地铁12号线宁国路,10469.0
地铁12号线宁国路,地铁12号线隆昌路,9351.0
地铁12号线隆昌路,地铁12号线爱国路,8396.0
地铁12号线爱国路,地铁12号线复兴岛,7519.0
地铁12号线复兴岛,地铁12号线东陆路,7543.0
地铁12号线东陆路,地铁12号线巨峰路,4951.0
地铁12号线巨峰路,地铁12号线杨高北路,3824.0
地铁12号线杨高北路,地铁12号线金京路,2311.0
地铁12号线金京路,地铁12号线申江路,683.0
地铁12号线申江路,地铁12号线金海路,639.0
地铁12号线金海路,地铁12号线申江路,1372.0
地铁12号线申江路,地铁12号线金京路,1913.0
地铁12号线金京路,地铁12号线杨高北路,1742.0
地铁12号线杨高北路,地铁12号线巨峰路,1543.0
地铁12号线巨峰路,地铁12号线东陆路,1609.0
地铁12号线东陆路,地铁12号线复兴岛,1153.0
地铁12号线复兴岛,地铁12号线爱国路,1167.0
地铁12号线爱国路,地铁12号线隆昌路,1131.0
地铁12号线隆昌路,地铁12号线宁国路,1913.0
地铁12号线宁国路,地铁12号线江浦公园,3362.0
地铁12号线江浦公园,地铁12号线大连路,3129.0
地铁12号线大连路,地铁12号线提篮桥,2652.0
地铁12号线提篮桥,地铁12号线国际客运中心,4156.0
地铁12号线国际客运中心,地铁12号线天潼路,5964.0
地铁12号线天潼路,地铁12号线曲阜路,7852.0
地铁12号线曲阜路,地铁12号线汉中路,8242.0
地铁12号线汉中路,地铁12号线南京西路,5567.0
地铁12号线南京西路,地铁12号线陕西南路,7417.0
地铁12号线陕西南路,地铁12号线嘉善路,7000.0
地铁12号线嘉善路,地铁12号线大木桥路,7021.0
地铁12号线大木桥路,地铁12号线龙华中路,7676.0
地铁12号线龙华中路,地铁12号线龙华,9465.0
地铁12号线龙华,地铁12号线龙漕路,8312.0
地铁12号线龙漕路,地铁12号线漕宝路,7155.0
地铁12号线漕宝路,地铁12号线桂林公园,6522.0
地铁12号线桂林公园,地铁12号线虹漕路,5848.0
地铁12号线虹漕路,地铁12号线虹梅路,5920.0
地铁12号线虹梅路,地铁12号线东兰路,5986.0
地铁12号线东兰路,地铁12号线顾戴路,5111.0
地铁12号线顾戴路,地铁12号线虹莘路,3914.0
地铁12号线虹莘路,地铁12号线七莘路,3013.0
地铁13号线金运路,地铁13号线金沙江西路,351.0
地铁13号线金沙江西路,地铁13号线丰庄,1124.0
地铁13号线丰庄,地铁13号线祁连山南路,1078.0
地铁13号线祁连山南路,地铁13号线真北路,1669.0
地铁13号线真北路,地铁13号线大渡河路,4115.0
地铁13号线大渡河路,地铁13号线金沙江路,6571.0
地铁13号线金沙江路,地铁13号线隆德路,3348.0
地铁13号线隆德路,地铁13号线武宁路,2368.0
地铁13号线武宁路,地铁13号线长寿路,2706.0
地铁13号线长寿路,地铁13号线江宁路,2629.0
地铁13号线江宁路,地铁13号线汉中路,3097.0
地铁13号线汉中路,地铁13号线自然博物馆,2681.0
地铁13号线自然博物馆,地铁13号线南京西路,3319.0
地铁13号线南京西路,地铁13号线淮海中路,5062.0
地铁13号线淮海中路,地铁13号线一大会址·新天地,5418.0
地铁13号线一大会址·新天地,地铁13号线马当路,6967.0
地铁13号线马当路,地铁13号线世博会博物馆,7859.0
地铁13号线世博会博物馆,地铁13号线世博大道,8627.0
地铁13号线世博大道,地铁13号线长清路,10005.0
地铁13号线长清路,地铁13号线成山路,10157.0
地铁13号线成山路,地铁13号线东明路,8392.0
地铁13号线东明路,地铁13号线华鹏路,8102.0
地铁13号线华鹏路,地铁13号线下南路,6371.0
地铁13号线下南路,地铁13号线北蔡,4923.0
地铁13号线北蔡,地铁13号线陈春路,3931.0
地铁13号线陈春路,地铁13号线莲溪路,2259.0
地铁13号线莲溪路,地铁13号线华夏中路,2287.0
地铁13号线华夏中路,地铁13号线中科路,1833.0
地铁13号线中科路,地铁13号线学林路,2758.0
地铁13号线学林路,地铁13号线张江路,2969.0
地铁13号线张江路,地铁13号线学林路,461.0
地铁13号线学林路,地铁13号线中科路,1844.0
地铁13号线中科路,地铁13号线华夏中路,5751.0
地铁13号线华夏中路,地铁13号线莲溪路,4924.0
地铁13号线莲溪路,地铁13号线陈春路,3902.0
地铁13号线陈春路,地铁13号线北蔡,2881.0
地铁13号线北蔡,地铁13号线下南路,2534.0
地铁13号线下南路,地铁13号线华鹏路,2202.0
地铁13号线华鹏路,地铁13号线东明路,2039.0
地铁13号线东明路,地铁13号线成山路,3113.0
地铁13号线成山路,地铁13号线长清路,1954.0
地铁13号线长清路,地铁13号线世博大道,964.0
地铁13号线世博大道,地铁13号线世博会博物馆,2473.0
地铁13号线世博会博物馆,地铁13号线马当路,3706.0
地铁13号线马当路,地铁13号线一大会址·新天地,4847.0
地铁13号线一大会址·新天地,地铁13号线淮海中路,4444.0
地铁13号线淮海中路,地铁13号线南京西路,4933.0
地铁13号线南京西路,地铁13号线自然博物馆,8751.0
地铁13号线自然博物馆,地铁13号线汉中路,9620.0
地铁13号线汉中路,地铁13号线江宁路,9633.0
地铁13号线江宁路,地铁13号线长寿路,10554.0
地铁13号线长寿路,地铁13号线武宁路,8850.0
地铁13号线武宁路,地铁13号线隆德路,9547.0
地铁13号线隆德路,地铁13号线金沙江路,9889.0
地铁13号线金沙江路,地铁13号线大渡河路,15453.0
地铁13号线大渡河路,地铁13号线真北路,15843.0
地铁13号线真北路,地铁13号线祁连山南路,16092.0
地铁13号线祁连山南路,地铁13号线丰庄,12987.0
地铁13号线丰庄,地铁13号线金沙江西路,10164.0
地铁13号线金沙江西路,地铁13号线金运路,8795.0
地铁13号线金运路,地铁13号线纪翟路,22.0
地铁13号线纪翟路,地铁13号线芳乐路,22.0
地铁13号线芳乐路,地铁13号线季乐路,22.0
地铁13号线季乐路,地铁13号线运乐路,22.0
地铁13号线运乐路,地铁13号线诸光路,22.0
地铁13号线诸光路,地铁13号线运乐路,8.0
地铁13号线运乐路,地铁13号线季乐路,8.0
地铁13号线季乐路,地铁13号线芳乐路,8.0
地铁13号线芳乐路,地铁13号线纪翟路,8.0
地铁13号线纪翟路,地铁13号线金运路,8.0
地铁14号线封浜,地铁14号线乐秀路,0.0
地铁14号线乐秀路,地铁14号线临洮路,0.0
地铁14号线临洮路,地铁14号线嘉怡路,0.0
地铁14号线嘉怡路,地铁14号线定边路,0.0
地铁14号线定边路,地铁14号线真新新村,0.0
地铁14号线真新新村,地铁14号线真光路,0.0
地铁14号线真光路,地铁14号线铜川路,0.0
地铁14号线铜川路,地铁14号线真如,1046.0
地铁14号线真如,地铁14号线中宁路,185.0
地铁14号线中宁路,地铁14号线曹杨路,185.0
地铁14号线曹杨路,地铁14号线武宁路,215.0
地铁14号线武宁路,地铁14号线武定路,150.0
地铁14号线武定路,地铁14号线静安寺,150.0
地铁14号线静安寺,地铁14号线一大会址·黄陂南路,888.0
地铁14号线一大会址·黄陂南路,地铁14号线大世界,1632.0
地铁14号线大世界,地铁14号线豫园,1415.0
地铁14号线豫园,地铁14号线陆家嘴,2030.0
地铁14号线陆家嘴,地铁14号线浦东南路,2687.0
地铁14号线浦东南路,地铁14号线浦东大道,2687.0
地铁14号线浦东大道,地铁14号线源深路,2549.0
地铁14号线源深路,地铁14号线昌邑路,2549.0
地铁14号线昌邑路,地铁14号线歇浦路,2101.0
地铁14号线歇浦路,地铁14号线云山路,2101.0
地铁14号线云山路,地铁14号线蓝天路,971.0
地铁14号线蓝天路,地铁14号线黄杨路,0.0
地铁14号线黄杨路,地铁14号线云顺路,0.0
地铁14号线云顺路,地铁14号线浦东足球场,0.0
地铁14号线浦东足球场,地铁14号线金粤路,0.0
地铁14号线金粤路,地铁14号线桂桥路,0.0
地铁14号线桂桥路,地铁14号线金粤路,0.0
地铁14号线金粤路,地铁14号线浦东足球场,0.0
地铁14号线浦东足球场,地铁14号线云顺路,0.0
地铁14号线云顺路,地铁14号线黄杨路,0.0
地铁14号线黄杨路,地铁14号线蓝天路,0.0
地铁14号线蓝天路,地铁14号线云山路,636.0
地铁14号线云山路,地铁14号线歇浦路,271.0
地铁14号线歇浦路,地铁14号线昌邑路,271.0
地铁14号线昌邑路,地铁14号线源深路,225.0
地铁14号线源深路,地铁14号线浦东大道,225.0
地铁14号线浦东大道,地铁14号线浦东南路,1476.0
地铁14号线浦东南路,地铁14号线陆家嘴,1476.0
地铁14号线陆家嘴,地铁14号线豫园,4938.0
地铁14号线豫园,地铁14号线大世界,5803.0
地铁14号线大世界,地铁14号线一大会址·黄陂南路,6017.0
地铁14号线一大会址·黄陂南路,地铁14号线静安寺,4190.0
地铁14号线静安寺,地铁14号线武定路,5794.0
地铁14号线武定路,地铁14号线武宁路,5794.0
地铁14号线武宁路,地铁14号线曹杨路,5918.0
地铁14号线曹杨路,地铁14号线中宁路,2859.0
地铁14号线中宁路,地铁14号线真如,2859.0
地铁14号线真如,地铁14号线铜川路,663.0
地铁14号线铜川路,地铁14号线真光路,0.0
地铁14号线真光路,地铁14号线真新新村,0.0
地铁14号线真新新村,地铁14号线定边路,0.0
地铁14号线定边路,地铁14号线嘉怡路,0.0
地铁14号线嘉怡路,地铁14号线临洮路,0.0
地铁14号线临洮路,地铁14号线乐秀路,0.0
地铁14号线乐秀路,地铁14号线封浜,0.0
地铁15号线顾村公园,地铁15号线锦秋路,185.0
地铁15号线锦秋路,地铁15号线丰翔路,191.0
地铁15号线丰翔路,地铁15号线南大路,188.0
地铁15号线南大路,地铁15号线祁安路,188.0
地铁15号线祁安路,地铁15号线古浪路,187.0
地铁15号线古浪路,地铁15号线武威东路,158.0
地铁15号线武威东路,地铁15号线上海西站,176.0
地铁15号线上海西站,地铁15号线铜川路,239.0
地铁15号线铜川路,地铁15号线梅岭北路,381.0
地铁15号线梅岭北路,地铁15号线大渡河路,371.0
地铁15号线大渡河路,地铁15号线长风公园,581.0
地铁15号线长风公园,地铁15号线娄山关路,1653.0
地铁15号线娄山关路,地铁15号线红宝石路,2335.0
地铁15号线红宝石路,地铁15号线姚虹路,3516.0
地铁15号线姚虹路,地铁15号线吴中路,3737.0
地铁15号线吴中路,地铁15号线桂林路,5382.0
地铁15号线桂林路,地铁15号线桂林公园,7211.0
地铁15号线桂林公园,地铁15号线上海南站,7951.0
地铁15号线上海南站,地铁15号线华东理工大学,8678.0
地铁15号线华东理工大学,地铁15号线罗秀路,7430.0
地铁15号线罗秀路,地铁15号线朱梅路,5543.0
地铁15号线朱梅路,地铁15号线华泾西,4042.0
地铁15号线华泾西,地铁15号线虹梅南路,3366.0
地铁15号线虹梅南路,地铁15号线景西路,3030.0
地铁15号线景西路,地铁15号线曙建路,2745.0
