o,d,volume
地铁15号线曙建路,地铁15号线双柏路,2187.0
地铁15号线双柏路,地铁15号线元江路,1403.0
地铁15号线元江路,地铁15号线永德路,1387.0
地铁15号线永德路,地铁15号线紫竹高新区,418.0
地铁15号线紫竹高新区,地铁15号线永德路,877.0
地铁15号线永德路,地铁15号线元江路,942.0
地铁15号线元江路,地铁15号线双柏路,1069.0
地铁15号线双柏路,地铁15号线曙建路,1105.0
地铁15号线曙建路,地铁15号线景西路,1003.0
地铁15号线景西路,地铁15号线虹梅南路,966.0
地铁15号线虹梅南路,地铁15号线华泾西,1086.0
地铁15号线华泾西,地铁15号线朱梅路,1075.0
地铁15号线朱梅路,地铁15号线罗秀路,1019.0
地铁15号线罗秀路,地铁15号线华东理工大学,999.0
地铁15号线华东理工大学,地铁15号线上海南站,868.0
地铁15号线上海南站,地铁15号线桂林公园,1605.0
地铁15号线桂林公园,地铁15号线桂林路,2430.0
地铁15号线桂林路,地铁15号线吴中路,2905.0
地铁15号线吴中路,地铁15号线姚虹路,3944.0
地铁15号线姚虹路,地铁15号线红宝石路,4218.0
地铁15号线红宝石路,地铁15号线娄山关路,5657.0
地铁15号线娄山关路,地铁15号线长风公园,6519.0
地铁15号线长风公园,地铁15号线大渡河路,8451.0
地铁15号线大渡河路,地铁15号线梅岭北路,8198.0
地铁15号线梅岭北路,地铁15号线铜川路,7691.0
地铁15号线铜川路,地铁15号线上海西站,6977.0
地铁15号线上海西站,地铁15号线武威东路,6702.0
地铁15号线武威东路,地铁15号线古浪路,6263.0
地铁15号线古浪路,地铁15号线祁安路,5701.0
地铁15号线祁安路,地铁15号线南大路,5063.0
地铁15号线南大路,地铁15号线丰翔路,5048.0
地铁15号线丰翔路,地铁15号线锦秋路,4149.0
地铁15号线锦秋路,地铁15号线顾村公园,3143.0
地铁16号线龙阳路,地铁16号线华夏中路,14218.0
地铁16号线华夏中路,地铁16号线罗山路,16165.0
地铁16号线罗山路,地铁16号线周浦东,16572.0
地铁16号线周浦东,地铁16号线鹤沙航城,15303.0
地铁16号线鹤沙航城,地铁16号线航头东,10784.0
地铁16号线航头东,地铁16号线新场,10364.0
地铁16号线新场,地铁16号线野生动物园,8348.0
地铁16号线野生动物园,地铁16号线惠南,6884.0
地铁16号线惠南,地铁16号线惠南东,1563.0
地铁16号线惠南东,地铁16号线书院,1282.0
地铁16号线书院,地铁16号线临港大道,705.0
地铁16号线临港大道,地铁16号线滴水湖,322.0
地铁16号线滴水湖,地铁16号线临港大道,741.0
地铁16号线临港大道,地铁16号线书院,931.0
地铁16号线书院,地铁16号线惠南东,920.0
地铁16号线惠南东,地铁16号线惠南,851.0
地铁16号线惠南,地铁16号线野生动物园,647.0
地铁16号线野生动物园,地铁16号线新场,652.0
地铁16号线新场,地铁16号线航头东,574.0
地铁16号线航头东,地铁16号线鹤沙航城,519.0
地铁16号线鹤沙航城,地铁16号线周浦东,520.0
地铁16号线周浦东,地铁16号线罗山路,621.0
地铁16号线罗山路,地铁16号线华夏中路,527.0
地铁16号线华夏中路,地铁16号线龙阳路,813.0
地铁17号线虹桥火车站,地铁17号线诸光路,15498.0
地铁17号线诸光路,地铁17号线蟠龙路,15240.0
地铁17号线蟠龙路,地铁17号线徐盈路,15797.0
地铁17号线徐盈路,地铁17号线徐泾北城,13454.0
地铁17号线徐泾北城,地铁17号线嘉松中路,10100.0
地铁17号线嘉松中路,地铁17号线赵巷,9421.0
地铁17号线赵巷,地铁17号线汇金路,8190.0
地铁17号线汇金路,地铁17号线青浦新城,4886.0
地铁17号线青浦新城,地铁17号线漕盈路,3738.0
地铁17号线漕盈路,地铁17号线淀山湖大道,1709.0
地铁17号线淀山湖大道,地铁17号线朱家角,606.0
地铁17号线朱家角,地铁17号线东方绿舟,157.0
地铁17号线东方绿舟,地铁17号线朱家角,119.0
地铁17号线朱家角,地铁17号线淀山湖大道,260.0
地铁17号线淀山湖大道,地铁17号线漕盈路,410.0
地铁17号线漕盈路,地铁17号线青浦新城,561.0
地铁17号线青浦新城,地铁17号线汇金路,670.0
地铁17号线汇金路,地铁17号线赵巷,779.0
地铁17号线赵巷,地铁17号线嘉松中路,836.0
地铁17号线嘉松中路,地铁17号线徐泾北城,802.0
地铁17号线徐泾北城,地铁17号线徐盈路,617.0
地铁17号线徐盈路,地铁17号线蟠龙路,484.0
地铁17号线蟠龙路,地铁17号线诸光路,554.0
地铁17号线诸光路,地铁17号线虹桥火车站,407.0
地铁17号线西岑,地铁17号线东方绿舟,0.0
地铁17号线东方绿舟,地铁17号线西岑,0.0
地铁18号线长江南路,地铁18号线殷高路,38.0
地铁18号线殷高路,地铁18号线上海财经大学,38.0
地铁18号线上海财经大学,地铁18号线复旦大学,38.0
地铁18号线复旦大学,地铁18号线国权路,38.0
地铁18号线国权路,地铁18号线抚顺路,1249.0
地铁18号线抚顺路,地铁18号线江浦路,1249.0
地铁18号线江浦路,地铁18号线江浦公园,919.0
地铁18号线江浦公园,地铁18号线平凉路,1205.0
地铁18号线平凉路,地铁18号线丹阳路,1205.0
地铁18号线丹阳路,地铁18号线昌邑路,1205.0
地铁18号线昌邑路,地铁18号线民生路,966.0
地铁18号线民生路,地铁18号线杨高中路,2013.0
地铁18号线杨高中路,地铁18号线迎春路,2930.0
地铁18号线迎春路,地铁18号线龙阳路,2930.0
地铁18号线龙阳路,地铁18号线芳芯路,2474.0
地铁18号线芳芯路,地铁18号线北中路,2474.0
地铁18号线北中路,地铁18号线莲溪路,2474.0
地铁18号线莲溪路,地铁18号线御桥,2536.0
地铁18号线御桥,地铁18号线康桥,0.0
地铁18号线康桥,地铁18号线周浦,0.0
地铁18号线周浦,地铁18号线繁荣路,0.0
地铁18号线繁荣路,地铁18号线沈梅路,0.0
地铁18号线沈梅路,地铁18号线鹤涛路,0.0
地铁18号线鹤涛路,地铁18号线下沙,0.0
地铁18号线下沙,地铁18号线航头,0.0
地铁18号线航头,地铁18号线下沙,0.0
地铁18号线下沙,地铁18号线鹤涛路,0.0
地铁18号线鹤涛路,地铁18号线沈梅路,0.0
地铁18号线沈梅路,地铁18号线繁荣路,0.0
地铁18号线繁荣路,地铁18号线周浦,0.0
地铁18号线周浦,地铁18号线康桥,0.0
地铁18号线康桥,地铁18号线御桥,0.0
地铁18号线御桥,地铁18号线莲溪路,684.0
地铁18号线莲溪路,地铁18号线北中路,1270.0
地铁18号线北中路,地铁18号线芳芯路,1270.0
地铁18号线芳芯路,地铁18号线龙阳路,1270.0
地铁18号线龙阳路,地铁18号线迎春路,1732.0
地铁18号线迎春路,地铁18号线杨高中路,1732.0
地铁18号线杨高中路,地铁18号线民生路,1902.0
地铁18号线民生路,地铁18号线昌邑路,2095.0
地铁18号线昌邑路,地铁18号线丹阳路,2828.0
地铁18号线丹阳路,地铁18号线平凉路,2828.0
地铁18号线平凉路,地铁18号线江浦公园,2828.0
地铁18号线江浦公园,地铁18号线江浦路,3892.0
地铁18号线江浦路,地铁18号线抚顺路,1902.0
地铁18号线抚顺路,地铁18号线国权路,1902.0
地铁18号线国权路,地铁18号线复旦大学,1464.0
地铁18号线复旦大学,地铁18号线上海财经大学,1464.0
地铁18号线上海财经大学,地铁18号线殷高路,1464.0
地铁18号线殷高路,地铁18号线长江南路,1464.0
地铁18号线大康路,地铁18号线呼兰路,0.0
地铁18号线呼兰路,地铁18号线爱辉路,6.0
地铁18号线爱辉路,地铁18号线江杨南路,6.0
地铁18号线江杨南路,地铁18号线长江西路,6.0
地铁18号线长江西路,地铁18号线通南路,6.0
地铁18号线通南路,地铁18号线长江南路,6.0
地铁18号线长江南路,地铁18号线通南路,431.0
地铁18号线通南路,地铁18号线长江西路,431.0
地铁18号线长江西路,地铁18号线江杨南路,431.0
地铁18号线江杨南路,地铁18号线爱辉路,431.0
地铁18号线爱辉路,地铁18号线呼兰路,431.0
地铁18号线呼兰路,地铁18号线大康路,0.0
磁浮线龙阳路,磁浮线浦东国际机场,0.0
磁浮线浦东国际机场,磁浮线龙阳路,1.0
浦江线沈杜公路,浦江线三鲁公路,0.0
浦江线三鲁公路,浦江线闵瑞路,0.0
浦江线闵瑞路,浦江线浦航路,0.0
浦江线浦航路,浦江线东城一路,0.0
浦江线东城一路,浦江线汇臻路,0.0
浦江线汇臻路,浦江线东城一路,0.0
浦江线东城一路,浦江线浦航路,0.0
浦江线浦航路,浦江线闵瑞路,0.0
浦江线闵瑞路,浦江线三鲁公路,0.0
浦江线三鲁公路,浦江线沈杜公路,0.0
地铁4号线上海体育馆,地铁4号线宜山路,6117.0
地铁4号线虹桥路,地铁4号线宜山路,4204.0
地铁1号线莘庄,地铁5号线莘庄,8913.0
地铁1号线上海南站,地铁3号线上海南站,1242.0
地铁1号线上海南站,地铁15号线上海南站,2180.0
地铁1号线漕宝路,地铁12号线漕宝路,2002.0
地铁1号线上海体育馆,地铁4号线上海体育馆,1275.0
地铁1号线徐家汇,地铁9号线徐家汇,3833.0
地铁1号线徐家汇,地铁11号线徐家汇,3985.0
地铁1号线常熟路,地铁7号线常熟路,2428.0
地铁1号线陕西南路,地铁10号线陕西南路,977.0
地铁1号线陕西南路,地铁12号线陕西南路,1414.0
地铁1号线一大会址·黄陂南路,地铁14号线一大会址·黄陂南路,1336.0
地铁1号线人民广场,地铁2号线人民广场,3039.0
地铁1号线人民广场,地铁8号线人民广场,4169.0
地铁1号线汉中路,地铁12号线汉中路,2617.0
地铁1号线汉中路,地铁13号线汉中路,2619.0
地铁1号线上海火车站,地铁3号线上海火车站,3165.0
地铁1号线上海火车站,地铁4号线上海火车站,2277.0
地铁1号线呼兰路,地铁18号线呼兰路,6.0
地铁2号线虹桥火车站,地铁10号线虹桥火车站,4154.0
地铁2号线虹桥火车站,地铁17号线虹桥火车站,6901.0
地铁2号线虹桥2号航站楼,地铁10号线虹桥2号航站楼,4004.0
地铁2号线娄山关路,地铁15号线娄山关路,1161.0
地铁2号线中山公园,地铁3号线中山公园,3208.0
地铁2号线中山公园,地铁4号线中山公园,4483.0
地铁2号线江苏路,地铁11号线江苏路,5206.0
地铁2号线静安寺,地铁7号线静安寺,3933.0
地铁2号线静安寺,地铁14号线静安寺,3888.0
地铁2号线南京西路,地铁12号线南京西路,4029.0
地铁2号线南京西路,地铁13号线南京西路,3597.0
地铁2号线人民广场,地铁1号线人民广场,7144.0
地铁2号线人民广场,地铁8号线人民广场,6305.0
地铁2号线南京东路,地铁10号线南京东路,3020.0
地铁2号线陆家嘴,地铁14号线陆家嘴,5167.0
地铁2号线世纪大道,地铁4号线世纪大道,6331.0
地铁2号线世纪大道,地铁6号线世纪大道,6794.0
地铁2号线世纪大道,地铁9号线世纪大道,5622.0
地铁2号线龙阳路,地铁7号线龙阳路,5196.0
地铁2号线龙阳路,地铁16号线龙阳路,6398.0
地铁2号线龙阳路,地铁18号线龙阳路,4473.0
地铁2号线龙阳路,磁浮线龙阳路,2730.0
地铁2号线浦东国际机场,磁浮线浦东国际机场,1.0
地铁3号线长江南路,地铁18号线长江南路,63.0
地铁3号线虹口足球场,地铁8号线虹口足球场,985.0
地铁3号线宝山路,地铁4号线宝山路,716.0
地铁3号线上海火车站,地铁1号线上海火车站,2626.0
地铁3号线上海火车站,地铁4号线上海火车站,769.0
地铁3号线中潭路,地铁4号线中潭路,532.0
地铁3号线镇坪路,地铁4号线镇坪路,618.0
地铁3号线镇坪路,地铁7号线镇坪路,3747.0
地铁3号线曹杨路,地铁4号线曹杨路,1069.0
地铁3号线曹杨路,地铁11号线曹杨路,4560.0
地铁3号线曹杨路,地铁14号线曹杨路,487.0
地铁3号线金沙江路,地铁4号线金沙江路,890.0
地铁3号线金沙江路,地铁13号线金沙江路,3058.0
地铁3号线中山公园,地铁2号线中山公园,783.0
地铁3号线中山公园,地铁4号线中山公园,1103.0
地铁3号线延安西路,地铁4号线延安西路,987.0
地铁3号线虹桥路,地铁4号线虹桥路,1033.0
地铁3号线虹桥路,地铁10号线虹桥路,735.0
地铁3号线宜山路,地铁4号线宜山路,974.0
地铁3号线宜山路,地铁9号线宜山路,2761.0
地铁3号线龙漕路,地铁12号线龙漕路,1097.0
地铁3号线上海南站,地铁1号线上海南站,2098.0
地铁3号线上海南站,地铁15号线上海南站,1397.0
地铁4号线宜山路,地铁3号线宜山路,1825.0
地铁4号线宜山路,地铁9号线宜山路,4664.0
地铁4号线虹桥路,地铁3号线虹桥路,637.0
地铁4号线虹桥路,地铁10号线虹桥路,1514.0
地铁4号线延安西路,地铁3号线延安西路,530.0
地铁4号线中山公园,地铁2号线中山公园,1099.0
地铁4号线中山公园,地铁3号线中山公园,739.0
地铁4号线金沙江路,地铁3号线金沙江路,809.0
地铁4号线金沙江路,地铁13号线金沙江路,3632.0
地铁4号线曹杨路,地铁3号线曹杨路,1550.0
地铁4号线曹杨路,地铁11号线曹杨路,5058.0
地铁4号线曹杨路,地铁14号线曹杨路,46.0
地铁4号线镇坪路,地铁3号线镇坪路,2061.0
地铁4号线镇坪路,地铁7号线镇坪路,4087.0
地铁4号线中潭路,地铁3号线中潭路,2160.0
地铁4号线上海火车站,地铁1号线上海火车站,3413.0
地铁4号线上海火车站,地铁3号线上海火车站,3036.0
地铁4号线宝山路,地铁3号线宝山路,3662.0
地铁4号线海伦路,地铁10号线海伦路,2206.0
地铁4号线大连路,地铁12号线大连路,4211.0
地铁4号线浦东大道,地铁14号线浦东大道,2099.0
地铁4号线世纪大道,地铁2号线世纪大道,7513.0
地铁4号线世纪大道,地铁6号线世纪大道,7471.0
地铁4号线世纪大道,地铁9号线世纪大道,5965.0
地铁4号线浦电路,地铁6号线浦电路,4717.0
地铁4号线蓝村路,地铁6号线蓝村路,2717.0
地铁4号线西藏南路,地铁8号线西藏南路,2876.0
地铁4号线大木桥路,地铁12号线大木桥路,2134.0
地铁4号线东安路,地铁7号线东安路,2450.0
地铁4号线上海体育馆,地铁1号线上海体育馆,3704.0
地铁5号线莘庄,地铁1号线莘庄,2158.0
地铁6号线港城路,地铁10号线港城路,137.0
地铁6号线巨峰路,地铁12号线巨峰路,1510.0
地铁6号线云山路,地铁14号线云山路,208.0
地铁6号线民生路,地铁18号线民生路,2400.0
地铁6号线世纪大道,地铁2号线世纪大道,4150.0
地铁6号线世纪大道,地铁4号线世纪大道,2442.0
地铁6号线世纪大道,地铁9号线世纪大道,4446.0
地铁6号线浦电路,地铁4号线浦电路,1574.0
地铁6号线蓝村路,地铁4号线蓝村路,608.0
地铁6号线高科西路,地铁7号线高科西路,2084.0
地铁6号线东明路,地铁13号线东明路,2598.0
地铁6号线东方体育中心,地铁8号线东方体育中心,4757.0
地铁6号线东方体育中心,地铁11号线东方体育中心,4010.0
地铁7号线龙阳路,地铁2号线龙阳路,880.0
地铁7号线龙阳路,地铁16号线龙阳路,3248.0
地铁7号线龙阳路,地铁18号线龙阳路,1977.0
地铁7号线龙阳路,磁浮线龙阳路,255.0
地铁7号线高科西路,地铁6号线高科西路,2001.0
地铁7号线耀华路,地铁8号线耀华路,3654.0
地铁7号线长清路,地铁13号线长清路,2286.0
地铁7号线龙华中路,地铁12号线龙华中路,3516.0
地铁7号线东安路,地铁4号线东安路,3412.0
地铁7号线肇嘉浜路,地铁9号线肇嘉浜路,3620.0
地铁7号线常熟路,地铁1号线常熟路,2753.0
地铁7号线静安寺,地铁2号线静安寺,1866.0
地铁7号线静安寺,地铁14号线静安寺,1330.0
地铁7号线长寿路,地铁13号线长寿路,1213.0
地铁7号线镇坪路,地铁3号线镇坪路,1470.0
地铁7号线镇坪路,地铁4号线镇坪路,1554.0
地铁7号线顾村公园,地铁15号线顾村公园,93.0
地铁8号线江浦路,地铁18号线江浦路,583.0
地铁8号线四平路,地铁10号线四平路,758.0
地铁8号线虹口足球场,地铁3号线虹口足球场,2348.0
地铁8号线曲阜路,地铁12号线曲阜路,2863.0
地铁8号线人民广场,地铁1号线人民广场,5574.0
地铁8号线人民广场,地铁2号线人民广场,4108.0
地铁8号线大世界,地铁14号线大世界,2345.0
地铁8号线老西门,地铁10号线老西门,1391.0
地铁8号线陆家浜路,地铁9号线陆家浜路,2198.0
地铁8号线西藏南路,地铁4号线西藏南路,1509.0
地铁8号线耀华路,地铁7号线耀华路,1844.0
地铁8号线成山路,地铁13号线成山路,2217.0
地铁8号线东方体育中心,地铁6号线东方体育中心,1215.0
地铁8号线东方体育中心,地铁11号线东方体育中心,2464.0
地铁8号线沈杜公路,浦江线沈杜公路,0.0
地铁9号线金海路,地铁12号线金海路,495.0
地铁9号线蓝天路,地铁14号线蓝天路,636.0
地铁9号线杨高中路,地铁18号线杨高中路,2182.0
地铁9号线世纪大道,地铁2号线世纪大道,4984.0
地铁9号线世纪大道,地铁4号线世纪大道,3875.0
地铁9号线世纪大道,地铁6号线世纪大道,5089.0
地铁9号线陆家浜路,地铁8号线陆家浜路,3815.0
地铁9号线马当路,地铁13号线马当路,2676.0
地铁9号线嘉善路,地铁12号线嘉善路,3137.0
地铁9号线肇嘉浜路,地铁7号线肇嘉浜路,2829.0
地铁9号线徐家汇,地铁1号线徐家汇,5025.0
地铁9号线徐家汇,地铁11号线徐家汇,4970.0
地铁9号线宜山路,地铁3号线宜山路,2809.0
地铁9号线宜山路,地铁4号线宜山路,3715.0
地铁9号线桂林路,地铁15号线桂林路,2546.0
地铁10号线虹桥火车站,地铁2号线虹桥火车站,1625.0
地铁10号线虹桥火车站,地铁17号线虹桥火车站,9280.0
地铁10号线虹桥2号航站楼,地铁2号线虹桥2号航站楼,1613.0
地铁10号线虹桥路,地铁3号线虹桥路,1940.0
地铁10号线虹桥路,地铁4号线虹桥路,2627.0
地铁10号线交通大学,地铁11号线交通大学,3321.0
地铁10号线陕西南路,地铁1号线陕西南路,2500.0
地铁10号线陕西南路,地铁12号线陕西南路,2350.0
地铁10号线一大会址·新天地,地铁13号线一大会址·新天地,2145.0
地铁10号线老西门,地铁8号线老西门,3714.0
地铁10号线豫园,地铁14号线豫园,2597.0
地铁10号线南京东路,地铁2号线南京东路,4153.0
地铁10号线天潼路,地铁12号线天潼路,4050.0
地铁10号线海伦路,地铁4号线海伦路,2639.0
地铁10号线四平路,地铁8号线四平路,3433.0
地铁10号线国权路,地铁18号线国权路,1592.0
地铁10号线港城路,地铁6号线港城路,443.0
地铁11号线上海西站,地铁15号线上海西站,1488.0
地铁11号线真如,地铁14号线真如,187.0
地铁11号线曹杨路,地铁3号线曹杨路,849.0
地铁11号线曹杨路,地铁4号线曹杨路,824.0
地铁11号线曹杨路,地铁14号线曹杨路,377.0
地铁11号线隆德路,地铁13号线隆德路,1537.0
地铁11号线江苏路,地铁2号线江苏路,721.0
地铁11号线交通大学,地铁10号线交通大学,929.0
地铁11号线徐家汇,地铁1号线徐家汇,1821.0
地铁11号线徐家汇,地铁9号线徐家汇,2283.0
地铁11号线龙华,地铁12号线龙华,1333.0
地铁11号线东方体育中心,地铁6号线东方体育中心,1689.0
地铁11号线东方体育中心,地铁8号线东方体育中心,4138.0
地铁11号线御桥,地铁18号线御桥,684.0
地铁11号线罗山路,地铁16号线罗山路,1686.0
地铁12号线桂林公园,地铁15号线桂林公园,2085.0
地铁12号线漕宝路,地铁1号线漕宝路,4169.0
地铁12号线龙漕路,地铁3号线龙漕路,1980.0
地铁12号线龙华,地铁11号线龙华,3559.0
地铁12号线龙华中路,地铁7号线龙华中路,1738.0
地铁12号线大木桥路,地铁4号线大木桥路,1376.0
地铁12号线嘉善路,地铁9号线嘉善路,2269.0
地铁12号线陕西南路,地铁1号线陕西南路,2264.0
地铁12号线陕西南路,地铁10号线陕西南路,1015.0
地铁12号线南京西路,地铁2号线南京西路,2163.0
地铁12号线南京西路,地铁13号线南京西路,1485.0
地铁12号线汉中路,地铁1号线汉中路,6579.0
地铁12号线汉中路,地铁13号线汉中路,3406.0
地铁12号线曲阜路,地铁8号线曲阜路,3993.0
地铁12号线天潼路,地铁10号线天潼路,1403.0
地铁12号线大连路,地铁4号线大连路,2375.0
地铁12号线江浦公园,地铁18号线江浦公园,2851.0
地铁12号线巨峰路,地铁6号线巨峰路,1246.0
地铁12号线金海路,地铁9号线金海路,849.0
地铁13号线大渡河路,地铁15号线大渡河路,1429.0
地铁13号线金沙江路,地铁3号线金沙江路,1698.0
地铁13号线金沙江路,地铁4号线金沙江路,2418.0
地铁13号线隆德路,地铁11号线隆德路,2175.0
地铁13号线武宁路,地铁14号线武宁路,1186.0
地铁13号线长寿路,地铁7号线长寿路,2994.0
地铁13号线汉中路,地铁1号线汉中路,4942.0
地铁13号线汉中路,地铁12号线汉中路,1486.0
地铁13号线南京西路,地铁2号线南京西路,2001.0
地铁13号线南京西路,地铁12号线南京西路,1382.0
地铁13号线一大会址·新天地,地铁10号线一大会址·新天地,999.0
地铁13号线马当路,地铁9号线马当路,1415.0
地铁13号线长清路,地铁7号线长清路,1754.0
地铁13号线成山路,地铁8号线成山路,4027.0
地铁13号线东明路,地铁6号线东明路,1814.0
地铁13号线莲溪路,地铁18号线莲溪路,1807.0
地铁13号线华夏中路,地铁16号线华夏中路,2100.0
地铁13号线诸光路,地铁17号线诸光路,22.0
地铁14号线铜川路,地铁15号线铜川路,663.0
地铁14号线真如,地铁11号线真如,3244.0
地铁14号线曹杨路,地铁3号线曹杨路,353.0
地铁14号线曹杨路,地铁4号线曹杨路,21.0
地铁14号线曹杨路,地铁11号线曹杨路,3565.0
地铁14号线武宁路,地铁13号线武宁路,1127.0
地铁14号线静安寺,地铁2号线静安寺,759.0
地铁14号线静安寺,地铁7号线静安寺,2117.0
地铁14号线一大会址·黄陂南路,地铁1号线一大会址·黄陂南路,2419.0
地铁14号线大世界,地铁8号线大世界,2348.0
地铁14号线豫园,地铁10号线豫园,1117.0
地铁14号线陆家嘴,地铁2号线陆家嘴,1048.0
地铁14号线浦东大道,地铁4号线浦东大道,986.0
地铁14号线昌邑路,地铁18号线昌邑路,798.0
地铁14号线云山路,地铁6号线云山路,1703.0
地铁14号线蓝天路,地铁9号线蓝天路,971.0
地铁15号线顾村公园,地铁7号线顾村公园,1770.0
地铁15号线上海西站,地铁11号线上海西站,1700.0
地铁15号线铜川路,地铁14号线铜川路,1046.0
地铁15号线大渡河路,地铁13号线大渡河路,1485.0
地铁15号线娄山关路,地铁2号线娄山关路,1519.0
地铁15号线桂林路,地铁9号线桂林路,2142.0
地铁15号线桂林公园,地铁12号线桂林公园,1185.0
地铁15号线上海南站,地铁1号线上海南站,1757.0
地铁15号线上海南站,地铁3号线上海南站,1327.0
地铁16号线龙阳路,地铁2号线龙阳路,518.0
地铁16号线龙阳路,地铁7号线龙阳路,914.0
地铁16号线龙阳路,地铁18号线龙阳路,858.0
地铁16号线龙阳路,磁浮线龙阳路,53.0
地铁16号线华夏中路,地铁13号线华夏中路,491.0
地铁16号线罗山路,地铁11号线罗山路,1373.0
地铁17号线虹桥火车站,地铁2号线虹桥火车站,466.0
地铁17号线虹桥火车站,地铁10号线虹桥火车站,624.0
地铁17号线诸光路,地铁13号线诸光路,8.0
地铁18号线长江南路,地铁3号线长江南路,1064.0
地铁18号线国权路,地铁10号线国权路,819.0
地铁18号线江浦路,地铁8号线江浦路,2903.0
地铁18号线江浦公园,地铁12号线江浦公园,1501.0
地铁18号线昌邑路,地铁14号线昌邑路,304.0
地铁18号线民生路,地铁6号线民生路,1160.0
地铁18号线杨高中路,地铁9号线杨高中路,1095.0
地铁18号线龙阳路,地铁2号线龙阳路,1480.0
地铁18号线龙阳路,地铁7号线龙阳路,1795.0
地铁18号线龙阳路,地铁16号线龙阳路,4092.0
地铁18号线龙阳路,磁浮线龙阳路,271.0
地铁18号线莲溪路,地铁13号线莲溪路,1159.0
地铁18号线御桥,地铁11号线御桥,2536.0
地铁18号线呼兰路,地铁1号线呼兰路,431.0
磁浮线龙阳路,地铁2号线龙阳路,261.0
磁浮线龙阳路,地铁7号线龙阳路,736.0
磁浮线龙阳路,地铁16号线龙阳路,1977.0
磁浮线龙阳路,地铁18号线龙阳路,336.0
磁浮线浦东国际机场,地铁2号线浦东国际机场,0.0
浦江线沈杜公路,地铁8号线沈杜公路,0.0
